0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,label
-5076,-5076,-5076,856,856,-1784,-1784,1496,1496,-5448,-5448,-5448,1408,1408,-1992,-1992,1768,1768,-6160,-6160,-6160,2148,2148,-3052,-3052,2276,2276,-7000,-7000,-7000,3276,3276,-3656,-3656,3540,3540,-7748,-7748,-7748,3536,3536,-4240,-4240,3712,3712,-7884,-7884,-7884,3968,3968,-4076,-4076,2880,2880,-7476,-7476,-7476,3892,3892,-3616,-3616,2036,2036,-6652,-6652,-6652,3148,3148,-2640,-2640,724,724,-5436,-5436,2064,2064,2064,-1844,-1844,-220,-220,-4312,-4312,988,988,-696,-1328,-3456,100,100,68,68,-1776,-2632,-2632,-320,-320,776,776,-3348,-3348,-1628,-2076,-2076,4360,4360,-7764,-7764,3020,3020,-4640,-4640,4452,4452,-7716,-7716,-7716,3348,3348,-4272,-4272,3948,3948,-7700,-7700,-7700,3140,3140,1
-4096,-4096,3548,3548,-7172,-7172,3476,3476,-3912,-3912,2964,2964,-7024,-7024,3072,3072,3072,-3520,-3520,2280,2280,-6564,-6564,2280,2280,2280,-2860,-2860,1260,1260,-5160,-5160,2020,2020,2020,-2372,-2372,172,172,-4652,-4652,1572,1572,1572,-1356,-1356,-1276,-1276,-3308,-3308,552,552,552,68,-2892,-2892,-2232,-2232,-252,-252,712,712,712,-3996,-3996,-1096,-1096,-952,-952,1268,1268,-4848,-4848,-4848,-260,-260,-1640,-1640,2520,2520,-6228,-6228,-6228,1032,1032,-2804,-2804,3356,3356,-6648,1612,1612,-6884,-6884,-6884,1572,1572,-3580,-3580,4024,4024,-7336,-7336,2416,2416,2416,-4144,-4144,4184,4184,-7748,-7748,-7748,2820,2820,-4552,-4552,4804,4804,-8028,-8028,-8028,3456,3456,-4812,-4812,4640,4640,1
-8012,-8012,-8012,3296,3296,-4424,-4424,4004,4004,-7924,-7924,-7924,3716,3716,-4284,-4284,3556,3556,-7440,-7440,-7440,3384,3384,-3604,-3604,2432,2432,-6736,-6736,2908,2908,2908,-3292,-3292,1632,1632,-6144,-6144,2232,2232,-2656,-2656,-2656,872,872,-5208,-5208,2032,2032,-2284,-2284,-2284,500,500,-4656,-4656,1372,1372,-1352,-1352,-1352,-924,-924,-3512,-3512,744,744,-604,-604,-1784,-1784,-1784,-2476,-2476,-248,-248,564,-3012,-3012,-3012,-1344,-1344,-1880,-1880,1592,1592,-4208,-4208,-4208,-40,-40,-2372,-2372,2232,2232,-4872,-4872,-4872,688,688,-2852,-2852,3064,3064,-5564,-5564,1040,1040,1040,-3476,-3476,3408,3408,-6312,-6312,1808,1808,1808,-3740,-3740,3624,3624,-6832,2304,2304,-4044,-4044,-4044,1
3436,3436,-7272,-7272,3264,3264,-4360,-4360,-4360,3540,3540,-7944,-7944,3668,3668,-4888,-4888,-4888,4444,4444,-8452,-8452,4184,4184,-5100,-5100,-5100,4804,4804,-8712,-8712,4548,4548,-5492,-5492,4104,4104,4104,-8116,-8116,4580,4580,-5116,-5116,4092,4092,4092,-8672,-8672,4324,4324,-4668,-4668,3848,3848,3848,-8220,-8220,4156,4156,-4248,-4248,3004,3004,3004,-7088,-7088,3236,3236,-3560,-3560,-3560,1404,1404,-5844,-5844,2752,2752,-2596,-2596,200,200,200,-4760,-4760,1804,1804,-1748,-1748,-920,-920,-920,-3844,-3844,1068,1068,-696,-696,-1820,-1820,-1820,-2684,-2684,132,132,-288,-288,-2888,-2888,-1228,-1228,-1228,-700,-700,140,140,-3872,-3872,-500,-500,-500,-1224,-1224,992,992,3052,3052,-4128,1
-4128,3484,3484,-7128,-7128,4596,4596,-5140,4288,4288,-8376,4728,4728,-4984,-4984,4088,-8640,-8640,4864,4864,-4776,3540,3540,3540,-8164,-8164,4288,4288,-4208,-4208,-4208,2736,2736,-7552,-7552,3624,3624,3624,-3700,-3700,1688,1688,-6556,-6556,3128,3128,3128,-2556,-2556,776,776,-5772,-5772,2616,2616,2616,-1776,-1776,-192,-192,-4508,-4508,1708,1708,1708,-996,-996,-1128,-1128,-3836,-3836,784,784,784,-476,-476,-2084,-2084,-2736,-2736,-172,-172,-172,36,36,-3776,-3776,-760,-760,-1468,-1468,-1468,1736,1736,-5152,-5152,732,732,-2432,-2432,-2432,2504,2504,-5980,-5980,1444,1444,-2828,-2828,-2828,2596,2596,-6448,-6448,2316,2316,-3680,-3680,-3680,3216,3216,-7760,-7760,3472,3472,-4560,-4560,-4560,1
4092,4092,-7832,-7832,3976,3976,-4916,-4916,-4916,4288,4288,-8424,-8424,4352,4352,-4908,-4908,-4908,4264,4264,-8352,-8352,4432,4432,-4752,-4752,-4752,3928,3928,-8488,-8488,4220,4220,-4732,-4732,-4732,3504,3504,-7944,-7944,4024,4024,-3888,-3888,-3888,2780,2780,-7848,-7848,4220,4220,-3520,-3520,-3520,1672,1672,-7012,-7012,3264,3264,-2572,-2572,924,924,924,-6452,-6452,2696,2696,-1880,-1880,-136,-136,-136,-5220,-5220,1704,1704,-992,-992,-1628,-1628,-3912,-3912,-3912,1136,1136,-128,-128,-2632,-2632,-2500,-2500,-2500,156,156,612,612,-3664,-3664,-1300,-1300,-1300,-1008,-1008,1524,1524,-4684,-4684,-272,-272,-272,-1768,-1768,2276,2276,-5908,-5908,1056,1056,1056,-2932,-2932,2868,2868,-6656,-6656,1960,1
1960,1960,-3288,-3288,3708,3708,-7500,-7500,2896,2896,2896,-3960,-3960,3892,3892,-7988,-7988,3548,3548,-4520,-4520,-4520,4192,4192,-8412,-8412,3840,3840,-4824,4544,4544,-8824,-8824,4284,4284,4284,-4596,-4596,4240,4240,-8740,-8740,4140,4140,-4416,-4416,-4416,3928,3928,-8600,-8600,4128,4128,-3760,-3760,-3760,3128,3128,-8072,-8072,3876,3876,-3540,-3540,-3540,2420,2420,-7372,-7372,3632,3632,-2668,-2668,1352,1352,1352,-6416,-6416,2636,2636,-2172,-2172,148,148,148,-5300,-5300,1700,1700,-1076,-1076,-1056,-1056,-1056,-4260,-4260,972,972,-604,-604,-2104,-2104,-2104,-2904,-2904,296,296,396,396,-2808,-2808,-2808,-1788,-1788,-440,-440,848,848,-3956,-3956,-3956,-812,-812,-1536,-1536,1692,-4744,-4744,1
-4744,472,472,-2560,-2560,2776,2776,-6380,-6380,-6380,1964,1964,-3528,-3528,3260,3260,-6860,-6860,-6860,2372,2372,-4132,-4132,3728,3728,-7640,-7640,-7640,3236,3236,-4440,-4440,4156,4156,-8192,-8192,3964,3964,3964,-4896,-4896,4456,4456,-8392,-8392,4560,4560,4560,-5152,-5152,4464,4464,-8580,-8580,-8580,4260,4260,-4668,-4668,3684,3684,-8488,-8488,4224,4224,4224,-4036,-4036,2932,2932,-8184,-8184,4240,4240,4240,-3656,-3656,2484,2484,-7456,-7456,3744,3744,1252,1252,-6684,-6684,2928,-2016,-2016,-60,-5508,-5508,2060,2060,-976,-976,-1128,-1128,-4268,-4268,1200,-460,-460,-1924,-1924,-3156,-3156,-3156,404,404,256,256,-3020,-2136,-2136,-860,-860,1088,1088,1088,-4456,-4456,64,64,-2232,-2232,2484,1
2484,2484,-5708,-5708,1436,1436,-3252,-3252,3452,3452,-7420,-7420,-7420,2864,2864,-4156,-4156,4176,4176,-8204,-8204,-8204,3572,3572,-4720,-4720,4636,4636,-8592,-8592,-8592,3744,3744,-5136,-5136,4980,4980,-8924,-8924,-8924,4644,4644,-4992,-4992,4364,4364,-8872,-8872,-8872,4540,4540,-4828,-4828,3824,3824,-8496,-8496,-8496,4272,4272,-4164,-4164,3224,3224,-8152,-8152,-8152,3732,3732,-3528,-3528,2276,2276,-7460,-7460,-7460,3544,3544,-2596,-2596,1004,1004,-6292,-6292,-6292,2792,2792,-1924,-1924,124,124,-5412,-5412,1788,1788,1788,-1224,-1224,-768,-768,-4488,-4488,1280,1280,1280,-108,-108,-1884,-1884,-2820,-2820,80,80,80,456,456,-3432,-3432,-1612,-1612,-896,-896,-896,1264,1264,-4352,-4352,-276,1
-276,-1972,-1972,-1972,2052,2052,-5712,-5712,1216,1216,-2612,-2612,-2612,2184,2184,-6064,-6064,2268,2268,-3256,-3256,-3256,2344,2344,-7128,-7128,2820,2820,-3344,-3344,-3344,3560,3560,-8024,3444,3444,-4132,-4132,-4132,3304,3304,-7544,-7544,3844,3844,-4124,-4124,-4124,3096,3096,-8092,-8092,4028,4028,-4164,-4164,2952,2952,2952,-7724,-7724,4116,4116,-4044,-4044,3068,3068,-8004,-8004,-8004,3432,3432,-3212,-3212,1932,1932,1932,-7228,-7228,3624,3624,-2616,-2616,632,632,-5824,-5824,-5824,2744,2744,-1792,-1792,-680,-680,-4544,-4544,-4544,1984,1984,-896,-896,-2032,-2032,-3432,-3432,-3432,716,716,-136,-136,-3024,-3024,-2000,-2000,-2000,-96,-96,684,-4144,-4144,-852,-852,-1088,-1088,1624,1624,1624,-5364,1
