20180920-15:25:34.471,-4120,16732,-1540,1818
20180920-15:25:34.473,2396,17084,-4068,2041
20180920-15:25:34.476,2396,17084,-4068,2290
20180920-15:25:34.478,-76,17088,144,2468
20180920-15:25:34.480,-76,17088,144,2481
20180920-15:25:34.482,-76,17088,144,2303
20180920-15:25:34.485,-1776,14044,1224,2070
20180920-15:25:34.487,-1776,14044,1224,1840
20180920-15:25:34.489,-3736,17012,-2008,1780
20180920-15:25:34.491,-3736,17012,-2008,1833
20180920-15:25:34.494,2412,16912,-3952,2087
20180920-15:25:34.496,2412,16912,-3952,2333
20180920-15:25:34.498,-132,17008,292,2476
20180920-15:25:34.500,-132,17008,292,2477
20180920-15:25:34.503,-132,17008,292,2258
20180920-15:25:34.505,-2080,13916,1256,2024
20180920-15:25:34.507,-2080,13916,1256,1826
20180920-15:25:34.509,-3260,17172,-2424,1763
20180920-15:25:34.512,-3260,17172,-2424,1866
20180920-15:25:34.514,2296,16900,-3736,2106
20180920-15:25:34.516,2296,16900,-3736,2358
20180920-15:25:34.518,2296,16904,404,2478
20180920-15:25:34.521,-236,16904,404,2456
20180920-15:25:34.523,-236,16904,404,2233
20180920-15:25:34.525,-2488,13888,1148,1984
20180920-15:25:34.528,-2488,13888,1148,1809
20180920-15:25:34.530,-2548,17476,-2880,1765
20180920-15:25:34.532,-2548,17476,-2880,1904
20180920-15:25:34.534,2036,16896,-3368,2149
20180920-15:25:34.537,2036,16896,-3368,2409
20180920-15:25:34.539,-200,16852,684,2484
20180920-15:25:34.542,-200,16852,684,2344
20180920-15:25:34.545,-3000,13772,1168,2085
20180920-15:25:34.547,-3000,13772,1168,1847
20180920-15:25:34.549,-2012,17612,-3136,1772
20180920-15:25:34.551,-2012,17612,-3136,1838
20180920-15:25:34.553,-2012,17612,-3136,2066
20180920-15:25:34.556,1952,16900,-2988,2314
20180920-15:25:34.558,1952,16900,-2988,2479
20180920-15:25:34.560,-140,16612,732,2483
20180920-15:25:34.562,-140,16612,732,2293
20180920-15:25:34.565,-3404,13808,1072,2039
20180920-15:25:34.567,-3404,13808,1072,1823
20180920-15:25:34.569,-1428,17724,-3544,1768
20180920-15:25:34.572,-1428,17724,-3544,1850
20180920-15:25:34.574,-1428,17724,-3544,2102
20180920-15:25:34.576,1828,16832,-2684,2352
20180920-15:25:34.578,1828,16832,-2684,2483
20180920-15:25:34.581,-104,16404,648,2462
20180920-15:25:34.583,-104,16404,648,2239
20180920-15:25:34.585,-3988,13888,1132,2011
20180920-15:25:34.587,-3988,13888,1132,1815
20180920-15:25:34.590,-764,17940,-3908,1766
20180920-15:25:34.592,-764,17940,-3908,1891
20180920-15:25:34.594,-764,17940,-3908,2135
20180920-15:25:34.601,-108,16288,736,2449
20180920-15:25:34.603,-108,16288,736,2222
20180920-15:25:34.605,-4244,14000,976,1989
20180920-15:25:34.608,-4244,14000,976,1811
20180920-15:25:34.610,-4244,18052,-4124,1761
20180920-15:25:34.612,-280,18052,-4124,1890
20180920-15:25:34.614,-280,18052,-4124,2145
20180920-15:25:34.617,1496,17004,-2164,2391
20180920-15:25:34.619,1496,17004,-2164,2478
20180920-15:25:34.621,-168,15920,828,2413
20180920-15:25:34.624,-168,15920,828,2177
20180920-15:25:34.626,-4696,14208,1072,1946
20180920-15:25:34.628,-4696,14208,1072,1800
20180920-15:25:34.630,248,18056,-4284,1767
20180920-15:25:34.633,248,18056,-4284,1979
20180920-15:25:34.635,248,18056,-1808,2257
20180920-15:25:34.637,1344,17072,-1808,2457
20180920-15:25:34.640,1344,17072,-1808,2480
20180920-15:25:34.642,-144,15556,776,2351
20180920-15:25:34.644,-144,15556,776,2105
20180920-15:25:34.647,-5000,14408,692,1866
20180920-15:25:34.649,-5000,14408,692,1774
20180920-15:25:34.651,820,17964,-4404,1827
20180920-15:25:34.653,820,17964,-4404,2045
20180920-15:25:34.656,820,17004,-1448,2295
20180920-15:25:34.658,1128,17004,-1448,2465
20180920-15:25:34.660,1128,17004,-1448,2478
20180920-15:25:34.662,-164,15160,760,2311
20180920-15:25:34.665,-164,15160,760,2076
20180920-15:25:34.667,-5220,14784,552,1847
20180920-15:25:34.669,-5220,14784,552,1769
20180920-15:25:34.673,1276,17944,-4616,1993
20180920-15:25:34.675,1276,17944,-4616,2258
20180920-15:25:34.677,864,17188,-1148,2451
20180920-15:25:34.680,864,17188,-1148,2483
20180920-15:25:34.682,-304,15064,828,2356
20180920-15:25:34.684,-304,15064,828,2131
20180920-15:25:34.686,-5152,15196,116,1881
20180920-15:25:34.689,-5152,15196,116,1779
20180920-15:25:34.691,-5152,15196,116,1797
20180920-15:25:34.693,1672,17752,-4588,2022
20180920-15:25:34.695,1672,17752,-4588,2275
20180920-15:25:34.698,592,17212,-868,2457
20180920-15:25:34.700,592,17212,-868,2478
20180920-15:25:34.702,-532,14712,1104,2339
20180920-15:25:34.704,-532,14712,1104,2104
20180920-15:25:34.707,-5148,15480,-52,1873
20180920-15:25:34.709,-5148,15480,-52,1770
20180920-15:25:34.711,-5148,15480,-52,1821
20180920-15:25:34.713,1920,17716,-4604,2052
20180920-15:25:34.716,1920,17716,-4604,2319
20180920-15:25:34.718,416,17232,-644,2473
20180920-15:25:34.720,416,17232,-644,2493
